feat 0 | feat 1 | feat 2 | feat 3 | feat 4 | visited | brake | releasebrake | 
46,51 | 0 | 0 | 1,1 | 0 | 1365 | 4400,56 | 7680,94 | 
47,51 | 0 | 0 | 1,2 | 0 | 1241 | 8425,83 | 8437,99 | 
48,51 | 0 | 0 | 1,3 | 0 | 1241 | 8326,13 | 8338,4 | 
49,51 | 0 | 0 | 1,4 | 0 | 1241 | 8222,73 | 8233,02 | 
50,51 | 0 | 0 | 1,5 | 0 | 1241 | 8121,13 | 8115,2 | 
51,51 | 0 | 0 | 1,6 | 0 | 1241 | 8008,58 | 8010,79 | 
52,51 | 0 | 0 | 1,7 | 0 | 1241 | 7923,91 | 7923,41 | 
53,51 | 0 | 0 | 1,8 | 0 | 1241 | 7885,47 | 7882,14 | 
54,51 | 0 | 0 | 1,9 | 0 | 1241 | 7887,83 | 7831,8 | 
55,51 | 0 | 0 | 2,0 | 0 | 1241 | 7892,65 | 7763,07 | 
56,51 | 0 | 0 | 2,1 | 0 | 1241 | 7901,99 | 7684,15 | 
57,51 | 0 | 0 | 2,2 | 0 | 1241 | 7916,84 | 7670,25 | 
58,51 | 0 | 0 | 2,3 | 0 | 1241 | 7507,76 | 7887,03 | 
59,51 | 0 | 0 | 2,4 | 0 | 1233 | 7710,37 | 7374,66 | 
60,51 | 0 | 0 | 2,5 | 0 | 1215 | 7368,48 | 7211,9 | 
61,51 | 0 | 0 | 2,6 | 0 | 1192 | 7124,27 | 6819,42 | 
62,51 | 0 | 0 | 2,7 | 0 | 1162 | 7080,62 | 7242,07 | 
63,51 | 0 | 0 | 2,8 | 0 | 1162 | 7510,62 | 6046,38 | 
64,51 | 0 | 0 | 2,9 | 0 | 1056 | 7390,39 | 7523,49 | 
64,51 | 0 | 0 | 3,0 | 0 | 2109 | 2963,98 | 5831,05 | 
49,51 | 0 | 0 | 1,9 | 0 | 2179 | -14642,56 | -14684,68 | 
49,51 | 0 | 0 | 2,0 | 0 | 2159 | -15254,02 | -14830,67 | 
49,51 | 0 | 0 | 2,1 | 0 | 2159 | -13911,84 | -16297,99 | 
49,51 | 0 | 0 | 2,2 | 1 | 2159 | 0 | 0 | 
54,51 | 0 | 0 | 2,2 | 0 | 3116 | -7078,79 | -7184,05 | 
55,51 | 0 | 0 | 2,3 | 0 | 2073 | -6515,86 | -6808,93 | 
71,51 | 0 | 0 | 3,9 | 0 | 474 | -624,76 | -787,82 | 
71,51 | 0 | 0 | 4,0 | 1 | 474 | 0 | 0 | 
65,51 | 0 | 0 | 3,0 | 0 | 1001 | 8228,98 | 7022,64 | 
66,51 | 0 | 0 | 3,1 | 0 | 950 | 8525,99 | 7222,68 | 
67,51 | 0 | 0 | 3,2 | 0 | 867 | 8313,61 | 9220,97 | 
68,51 | 0 | 0 | 3,3 | 0 | 863 | 7837,67 | 9457,7 | 
69,51 | 0 | 0 | 3,4 | 0 | 733 | 8880,35 | 9658,04 | 
70,51 | 0 | 0 | 3,5 | 0 | 684 | 8732,45 | 9825,94 | 
71,51 | 0 | 0 | 3,6 | 0 | 632 | 9938,06 | 9177,03 | 
72,51 | 0 | 0 | 3,7 | 0 | 581 | 10001,07 | 9652,51 | 
73,51 | 0 | 0 | 3,8 | 0 | 581 | 9264,03 | 10023,65 | 
74,51 | 0 | 0 | 3,9 | 0 | 514 | 10019,73 | 10027,02 | 
75,51 | 0 | 0 | 4,0 | 0 | 481 | 10025,43 | 10021,37 | 
76,51 | 0 | 0 | 4,1 | 0 | 481 | 10022,29 | 10019,55 | 
77,51 | 0 | 0 | 4,2 | 0 | 424 | 10020,65 | 10016,87 | 
78,51 | 0 | 0 | 4,3 | 0 | 424 | 10016,16 | 10017,8 | 
79,51 | 0 | 0 | 4,4 | 0 | 375 | 10016,36 | 10011,95 | 
80,51 | 0 | 0 | 4,5 | 0 | 374 | 10014,02 | 10010,91 | 
81,51 | 0 | 0 | 4,6 | 0 | 372 | 10011,05 | 10008,43 | 
82,51 | 0 | 0 | 4,7 | 0 | 305 | 10007,64 | 10004,91 | 
83,51 | 0 | 0 | 4,8 | 0 | 304 | 10004,18 | 10002,26 | 
84,51 | 0 | 0 | 4,9 | 0 | 278 | 10000,0 | 9999,74 | 
85,51 | 0 | 0 | 5,0 | 1 | 277 | 0 | 0 | 
79,51 | 0 | 0 | 4,7 | 0 | 540 | 10006,93 | 10005,41 | 
80,51 | 0 | 0 | 4,8 | 0 | 481 | 10004,02 | 10002,25 | 
80,51 | 0 | 0 | 4,9 | 0 | 481 | 10000,0 | 9999,99 | 
81,51 | 0 | 0 | 5,0 | 1 | 275 | 0 | 0 | 
74,51 | 0 | 0 | 4,2 | 0 | 340 | -371,33 | 2889,21 | 
75,51 | 0 | 0 | 4,3 | 0 | 307 | 2081,73 | 2073,38 | 
75,51 | 0 | 0 | 4,4 | 0 | 307 | 817,46 | -837,03 | 
75,51 | 0 | 0 | 4,5 | 0 | 154 | -3179,81 | -3096,43 | 
75,51 | 0 | 0 | 4,6 | 0 | 154 | -3075,26 | -3502,9 | 
75,51 | 0 | 0 | 4,7 | 1 | 154 | 0 | 0 | 
70,51 | 0 | 0 | 3,6 | 0 | 1524 | 7809,6 | 6334,13 | 
70,51 | 0 | 0 | 3,8 | 1 | 38 | 0 | 0 | 
59,51 | 0 | 0 | 2,8 | 0 | 1136 | -4316,08 | -2561,55 | 
59,51 | 0 | 0 | 2,9 | 1 | 894 | 0 | 0 | 
76,51 | 0 | 0 | 4,5 | 0 | 253 | 9980,1 | 10005,77 | 
76,51 | 0 | 0 | 4,6 | 0 | 123 | 10008,11 | 9233,45 | 
76,51 | 0 | 0 | 4,7 | 0 | 123 | 9612,08 | 10004,63 | 
76,51 | 0 | 0 | 4,8 | 0 | 123 | 10002,21 | 9709,89 | 
76,51 | 0 | 0 | 4,9 | 0 | 123 | 9965,41 | 10000,0 | 
76,51 | 0 | 0 | 5,0 | 1 | 123 | 0 | 0 | 
63,51 | 0 | 0 | 2,9 | 0 | 2291 | 2045,92 | 5717,72 | 
65,51 | 0 | 0 | 3,1 | 0 | 1993 | 6067,76 | 4538,37 | 
66,51 | 0 | 0 | 3,2 | 0 | 1897 | 5119,33 | 5821,37 | 
67,51 | 0 | 0 | 3,3 | 0 | 1867 | 5156,19 | 6001,56 | 
68,51 | 0 | 0 | 3,4 | 0 | 1735 | 6605,01 | 3659,06 | 
69,51 | 0 | 0 | 3,5 | 0 | 1578 | 6084,82 | 7218,64 | 
71,51 | 0 | 0 | 3,7 | 0 | 1454 | 6574,57 | 8496,22 | 
72,51 | 0 | 0 | 3,8 | 0 | 1442 | 5384,63 | 9174,58 | 
73,51 | 0 | 0 | 3,9 | 0 | 1361 | 7412,25 | 9746,67 | 
67,51 | 0 | 0 | 3,5 | 1 | 571 | 0 | 0 | 
74,51 | 0 | 0 | 4,0 | 0 | 1269 | 9954,13 | 10017,1 | 
75,51 | 0 | 0 | 4,1 | 0 | 1265 | 10017,52 | 9771,47 | 
76,51 | 0 | 0 | 4,2 | 0 | 1197 | 10017,84 | 10016,49 | 
77,51 | 0 | 0 | 4,3 | 0 | 1179 | 10014,75 | 10015,87 | 
78,51 | 0 | 0 | 4,4 | 0 | 1078 | 10013,31 | 10012,98 | 
79,51 | 0 | 0 | 4,5 | 0 | 1064 | 10011,45 | 10010,7 | 
80,51 | 0 | 0 | 4,6 | 0 | 1045 | 10009,31 | 10008,15 | 
81,51 | 0 | 0 | 4,7 | 0 | 926 | 10006,99 | 10005,31 | 
82,51 | 0 | 0 | 4,8 | 0 | 897 | 10003,48 | 10002,2 | 
83,51 | 0 | 0 | 4,9 | 0 | 752 | 10000,0 | 10000,0 | 
84,51 | 0 | 0 | 5,0 | 1 | 746 | 0 | 0 | 
81,51 | 0 | 0 | 4,9 | 0 | 719 | 10000,0 | 10000,0 | 
82,51 | 0 | 0 | 5,0 | 1 | 611 | 0 | 0 | 
44,51 | 0 | 0 | 1,5 | 0 | 350 | -22017,88 | -21549,49 | 
44,51 | 0 | 0 | 1,6 | 0 | 350 | -21455,48 | -21649,47 | 
44,51 | 0 | 0 | 1,7 | 0 | 350 | -21756,88 | -21396,24 | 
44,51 | 0 | 0 | 1,8 | 0 | 350 | -21641,55 | -21696,49 | 
44,51 | 0 | 0 | 1,9 | 0 | 350 | -22742,66 | -23648,71 | 
44,51 | 0 | 0 | 2,0 | 1 | 347 | 0 | 0 | 
74,51 | 0 | 0 | 4,3 | 0 | 166 | -2026,19 | -2382,67 | 
74,51 | 0 | 0 | 4,4 | 1 | 166 | 0 | 0 | 
80,51 | 0 | 0 | 5,0 | 1 | 454 | 0 | 0 | 
69,51 | 0 | 0 | 3,7 | 1 | 353 | 0 | 0 | 
48,51 | 0 | 0 | 1,2 | 0 | 124 | 1493,33 | 56,4 | 
49,51 | 0 | 0 | 1,3 | 0 | 124 | 1870,58 | 55,89 | 
50,51 | 0 | 0 | 1,4 | 0 | 120 | 2297,56 | 555,1 | 
51,51 | 0 | 0 | 1,5 | 0 | 120 | 338,35 | 2753,63 | 
52,51 | 0 | 0 | 1,6 | 0 | 120 | 3225,21 | 623,46 | 
53,51 | 0 | 0 | 1,7 | 0 | 120 | 1081,41 | 3702,63 | 
54,51 | 0 | 0 | 1,8 | 0 | 120 | 4077,5 | 1614,66 | 
55,51 | 0 | 0 | 1,9 | 0 | 120 | 4581,64 | 1589,74 | 
56,51 | 0 | 0 | 2,0 | 0 | 120 | 4927,68 | 1528,33 | 
57,51 | 0 | 0 | 2,1 | 0 | 120 | 5190,64 | 1400,24 | 
58,51 | 0 | 0 | 2,2 | 0 | 120 | 5399,0 | 2308,11 | 
59,51 | 0 | 0 | 2,3 | 0 | 120 | 5609,57 | 2733,52 | 
60,51 | 0 | 0 | 2,4 | 0 | 120 | 5865,78 | 2106,41 | 
61,51 | 0 | 0 | 2,5 | 0 | 120 | 6163,06 | 1259,59 | 
62,51 | 0 | 0 | 2,6 | 0 | 120 | 2986,03 | 6435,59 | 
63,51 | 0 | 0 | 2,7 | 0 | 120 | 6610,64 | 2094,37 | 
64,51 | 0 | 0 | 2,8 | 0 | 120 | 6688,58 | 4993,84 | 
65,51 | 0 | 0 | 2,9 | 0 | 118 | 2708,44 | 7019,34 | 
66,51 | 0 | 0 | 3,0 | 0 | 114 | 3218,64 | 6944,49 | 
67,51 | 0 | 0 | 3,1 | 0 | 92 | 4430,87 | 5119,81 | 
68,51 | 0 | 0 | 3,2 | 0 | 83 | 3554,22 | 5493,78 | 
69,51 | 0 | 0 | 3,3 | 0 | 83 | 6126,96 | 3658,48 | 
70,51 | 0 | 0 | 3,4 | 0 | 75 | 1288,1 | 6632,95 | 
71,51 | 0 | 0 | 3,5 | 0 | 73 | 2842,38 | 6803,07 | 
72,51 | 0 | 0 | 3,6 | 0 | 60 | 1313,59 | 4624,77 | 
73,51 | 0 | 0 | 3,7 | 0 | 54 | 5856,2 | 1353,6 | 
74,51 | 0 | 0 | 3,8 | 0 | 54 | 765,19 | 6658,7 | 
75,51 | 0 | 0 | 3,9 | 0 | 45 | 2158,65 | 3066,65 | 
76,51 | 0 | 0 | 4,0 | 0 | 38 | 942,87 | 2665,53 | 
77,51 | 0 | 0 | 4,1 | 0 | 38 | 1402,84 | 4042,4 | 
78,51 | 0 | 0 | 4,2 | 0 | 36 | 4752,76 | 181,23 | 
79,51 | 0 | 0 | 4,3 | 0 | 35 | 627,46 | 5263,49 | 
80,51 | 0 | 0 | 4,4 | 0 | 32 | 3428,6 | 6772,56 | 
81,51 | 0 | 0 | 4,5 | 0 | 32 | 8468,47 | 3281,39 | 
82,51 | 0 | 0 | 4,6 | 0 | 32 | 9374,5 | 2561,89 | 
83,51 | 0 | 0 | 4,7 | 0 | 31 | 9812,91 | 6475,87 | 
84,51 | 0 | 0 | 4,8 | 0 | 31 | 7905,19 | 9972,23 | 
85,51 | 0 | 0 | 4,9 | 0 | 27 | 8427,14 | 10000,0 | 
86,51 | 0 | 0 | 5,0 | 1 | 28 | 0 | 0 | 
72,51 | 0 | 0 | 4,1 | 1 | 107 | 0 | 0 | 
78,51 | 0 | 0 | 4,6 | 0 | 248 | 10005,97 | 9976,76 | 
78,51 | 0 | 0 | 4,7 | 0 | 248 | 10001,71 | 10003,34 | 
78,51 | 0 | 0 | 4,8 | 0 | 282 | 10001,16 | 10000,85 | 
78,51 | 0 | 0 | 4,9 | 0 | 282 | 9999,15 | 10000,0 | 
78,51 | 0 | 0 | 5,0 | 1 | 181 | 0 | 0 | 
51,51 | 0 | 0 | 1,4 | 0 | 4 | 0,4 | 0,0 | 
52,51 | 0 | 0 | 1,5 | 0 | 4 | 0,25 | 0,5 | 
53,51 | 0 | 0 | 1,6 | 0 | 4 | 1,5 | 0,0 | 
55,51 | 0 | 0 | 1,7 | 0 | 2 | 0 | 0,25 | 
56,51 | 0 | 0 | 1,8 | 0 | 2 | 1,0 | 0 | 
57,51 | 0 | 0 | 1,9 | 0 | 2 | 1,75 | 0 | 
58,51 | 0 | 0 | 2,0 | 0 | 2 | 2,5 | 0 | 
59,51 | 0 | 0 | 2,1 | 0 | 2 | 2,0 | 1,25 | 
60,51 | 0 | 0 | 2,2 | 0 | 2 | 0 | 1,5 | 
61,51 | 0 | 0 | 2,3 | 0 | 2 | 0 | 1,25 | 
62,51 | 0 | 0 | 2,4 | 0 | 2 | 1,5 | 0 | 
63,51 | 0 | 0 | 2,5 | 0 | 2 | 0 | 1,25 | 
64,51 | 0 | 0 | 2,6 | 0 | 2 | 1,5 | 0 | 
65,51 | 0 | 0 | 2,7 | 0 | 2 | 1,25 | 1,0 | 
66,51 | 0 | 0 | 2,8 | 0 | 2 | 1,5 | 1,25 | 
67,51 | 0 | 0 | 2,9 | 0 | 2 | 2,75 | 0 | 
68,51 | 0 | 0 | 3,0 | 0 | 2 | 3,5 | 0 | 
69,51 | 0 | 0 | 3,1 | 0 | 2 | 3,75 | 0 | 
70,51 | 0 | 0 | 3,2 | 0 | 2 | 0 | 3,5 | 
71,51 | 0 | 0 | 3,3 | 0 | 2 | 3,75 | 0 | 
72,51 | 0 | 0 | 3,4 | 0 | 2 | 0 | 3,5 | 
73,51 | 0 | 0 | 3,5 | 0 | 2 | 3,0 | 2,25 | 
74,51 | 0 | 0 | 3,6 | 0 | 2 | 3,5 | 2,25 | 
75,51 | 0 | 0 | 3,7 | 0 | 2 | 4,25 | 0 | 
76,51 | 0 | 0 | 3,8 | 0 | 2 | 0 | 3,5 | 
77,51 | 0 | 0 | 3,9 | 0 | 2 | 2,25 | 3,0 | 
78,51 | 0 | 0 | 4,0 | 0 | 2 | 4,0 | 0 | 
79,51 | 0 | 0 | 4,1 | 0 | 2 | 0 | 3,75 | 
80,51 | 0 | 0 | 4,2 | 0 | 2 | 4,5 | 0 | 
81,51 | 0 | 0 | 4,3 | 0 | 2 | 5,25 | 0 | 
82,51 | 0 | 0 | 4,4 | 0 | 2 | 6,0 | 0 | 
83,51 | 0 | 0 | 4,5 | 0 | 2 | 6,75 | 0 | 
84,51 | 0 | 0 | 4,6 | 0 | 2 | 7,0 | 0 | 
85,51 | 0 | 0 | 4,7 | 0 | 2 | 4,25 | 5,0 | 
86,51 | 0 | 0 | 4,8 | 0 | 2 | 0 | 3,5 | 
86,51 | 0 | 0 | 4,9 | 0 | 1 | 5000,0 | 0 | 
65,51 | 0 | 0 | 3,3 | 1 | 73 | 0 | 0 | 
79,51 | 0 | 0 | 4,8 | 0 | 237 | 10001,7 | 10002,66 | 
79,51 | 0 | 0 | 4,9 | 0 | 237 | 9998,78 | 10000,0 | 
79,51 | 0 | 0 | 5,0 | 1 | 277 | 0 | 0 | 
54,51 | 0 | 0 | 1,7 | 0 | 2 | 2,25 | 0 | 
55,51 | 0 | 0 | 1,8 | 0 | 2 | 2,0 | 1,5 | 
56,51 | 0 | 0 | 1,9 | 0 | 2 | 3,25 | 0 | 
57,51 | 0 | 0 | 2,0 | 0 | 2 | 4,0 | 0 | 
58,51 | 0 | 0 | 2,1 | 0 | 2 | 4,75 | 0 | 
59,51 | 0 | 0 | 2,2 | 0 | 2 | 5,5 | 0 | 
60,51 | 0 | 0 | 2,3 | 0 | 2 | 6,25 | 0 | 
61,51 | 0 | 0 | 2,4 | 0 | 2 | 6,5 | 0 | 
62,51 | 0 | 0 | 2,5 | 0 | 2 | 0 | 6,25 | 
63,51 | 0 | 0 | 2,6 | 0 | 2 | 7,0 | 0 | 
64,51 | 0 | 0 | 2,7 | 0 | 2 | 5,5 | 4,5 | 
65,51 | 0 | 0 | 2,8 | 0 | 2 | 8,0 | 0 | 
66,51 | 0 | 0 | 2,9 | 0 | 2 | 8,25 | 0 | 
67,51 | 0 | 0 | 3,0 | 0 | 2 | 0 | 8,0 | 
68,51 | 0 | 0 | 3,1 | 0 | 2 | 8,25 | 0 | 
69,51 | 0 | 0 | 3,2 | 0 | 2 | 0 | 8,0 | 
70,51 | 0 | 0 | 3,3 | 0 | 2 | 6,5 | 3,53 | 
71,51 | 0 | 0 | 3,4 | 0 | 2 | 3,5 | 0 | 
87,51 | 0 | 0 | 4,9 | 0 | 1 | 10000,0 | 0 | 
88,51 | 0 | 0 | 5,0 | 1 | 1 | 0 | 0 | 
72,51 | 0 | 0 | 3,5 | 0 | 1 | 4,0 | 0 | 
73,51 | 0 | 0 | 3,6 | 0 | 1 | 4,5 | 0 | 
74,51 | 0 | 0 | 3,7 | 0 | 1 | 5,0 | 0 | 
75,51 | 0 | 0 | 3,8 | 0 | 1 | 5,5 | 0 | 
76,51 | 0 | 0 | 3,9 | 0 | 1 | 6,0 | 0 | 
77,51 | 0 | 0 | 4,0 | 0 | 1 | 6,5 | 0 | 
78,51 | 0 | 0 | 4,1 | 0 | 1 | 689,36 | 0 | 
